"","time","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","symbol","signif","Gene.stable.ID","Gene.stable.ID.1","Gene.name.1","symbol.hs"
"39","5",6.77262814723789e-32,6.10020275495616,0.157,0.002,2.18654299733575e-27,"Mgp",TRUE,"ENSMUSG00000030218","ENSG00000111341","MGP","MGP"
"40","5",0,-6.07801467556236,0.031,0.248,0,"Ebf3",TRUE,"ENSMUSG00000010476","ENSG00000108001","EBF3","EBF3"
"41","5",0,-5.96811405927733,0.019,0.184,0,"Csmd1",TRUE,"ENSMUSG00000060924","ENSG00000183117","CSMD1","CSMD1"
"42","5",0,-5.95493593939157,0.017,0.236,0,"Fgf14",TRUE,"ENSMUSG00000025551","ENSG00000102466","FGF14","FGF14"
"43","5",0,-5.90151806522092,0.072,0.651,0,"Tox3",TRUE,"ENSMUSG00000043668","ENSG00000103460","TOX3","TOX3"
"44","5",0,-5.83312764361942,0.014,0.154,0,"Mdga2",TRUE,"ENSMUSG00000034912","ENSG00000139915","MDGA2","MDGA2"
"45","5",2.69042561966962e-95,5.80144911547843,0.223,0.004,8.68603911310336e-91,"Ccl17",TRUE,"ENSMUSG00000031780","ENSG00000102970","CCL17","CCL17"
"46","5",0,-5.73578020931939,0.043,0.562,0,"Ptprn2",TRUE,"ENSMUSG00000056553","ENSG00000155093","PTPRN2","PTPRN2"
"47","5",7.40406105606694e-54,5.70238564510653,0.167,0.002,2.39040111195121e-49,"Hand1",TRUE,"ENSMUSG00000037335","ENSG00000113196","HAND1","HAND1"
"48","5",0,-5.63842804515337,0.023,0.324,0,"Crabp1",TRUE,"ENSMUSG00000032291","ENSG00000166426","CRABP1","CRABP1"
"49","5",0,-5.61477955399128,0.023,0.362,0,"Ptprz1",TRUE,"ENSMUSG00000068748","ENSG00000106278","PTPRZ1","PTPRZ1"
"50","5",4.80107417714125e-83,-5.58572298973626,0.008,0.161,1.55002679809005e-78,"Stmn3",TRUE,"ENSMUSG00000027581","ENSG00000197457","STMN3","STMN3"
"51","5",0,-5.56527117920617,0.073,0.66,0,"Fabp7",TRUE,"ENSMUSG00000019874","ENSG00000164434","FABP7","FABP7"
"52","5",7.4986680341903e-234,-5.56231212963665,0.017,0.255,2.42094497483834e-229,"Elavl3",TRUE,"ENSMUSG00000003410","ENSG00000196361","ELAVL3","ELAVL3"
"53","5",8.56886256309517e-40,5.48964643477735,0.168,0.003,2.76645727849527e-35,"Hand2",TRUE,"ENSMUSG00000038193","ENSG00000164107","HAND2","HAND2"
"54","5",6.69808175511042e-218,-5.45119463563725,0.008,0.13,2.1624756946374e-213,"Ncam2",TRUE,"ENSMUSG00000022762","ENSG00000154654","NCAM2","NCAM2"
"55","5",1.29233018377842e-94,5.40020366662521,0.171,0.005,4.17228799832862e-90,"Tnfaip2",TRUE,"ENSMUSG00000021281","ENSG00000185215","TNFAIP2","TNFAIP2"
"56","5",0,-5.38434553865716,0.018,0.258,0,"Gpm6a",TRUE,"ENSMUSG00000031517","ENSG00000150625","GPM6A","GPM6A"
"57","5",0,-5.36623722291103,0.029,0.224,0,"Nlgn1",TRUE,"ENSMUSG00000063887","ENSG00000169760","NLGN1","NLGN1"
"58","5",0,-5.33811565947641,0.076,0.568,0,"Slc35f1",TRUE,"ENSMUSG00000038602","ENSG00000196376","SLC35F1","SLC35F1"
"59","5",2.84332016226484e-109,5.31163107494684,0.227,0.005,9.17965914387205e-105,"Dkk1",TRUE,"ENSMUSG00000024868","ENSG00000107984","DKK1","DKK1"
"60","5",4.1340180076237e-250,-5.3098992804402,0.02,0.173,1.33466771376131e-245,"Grin2b",TRUE,"ENSMUSG00000030209","ENSG00000273079","GRIN2B","GRIN2B"
"61","5",NA,5.25529745783113,0.266,0.005,NA,"Apob",NA,"ENSMUSG00000020609","ENSG00000084674","APOB","APOB"
"62","5",0,-5.24229737319181,0.101,0.464,0,"Map2",TRUE,"ENSMUSG00000015222","ENSG00000078018","MAP2","MAP2"
"63","5",1.88332291140628e-183,-5.2407022506674,0.01,0.152,6.08030801947516e-179,"Spock3",TRUE,"ENSMUSG00000054162","ENSG00000196104","SPOCK3","SPOCK3"
"64","5",0,-5.21193973883792,0.086,0.722,0,"Dach1",TRUE,"ENSMUSG00000055639","ENSG00000276644","DACH1","DACH1"
"65","5",0,5.20224890667255,0.394,0.007,0,"Spink1",TRUE,"ENSMUSG00000024503","ENSG00000164266","SPINK1","SPINK1"
"66","5",0,-5.13984048438478,0.127,0.605,0,"Ctnna2",TRUE,"ENSMUSG00000063063","ENSG00000066032","CTNNA2","CTNNA2"
"67","5",0,5.12034225157605,0.437,0.022,0,"Ankrd1",TRUE,"ENSMUSG00000024803","ENSG00000148677","ANKRD1","ANKRD1"
"68","5",8.85055348471363e-97,5.05327942591006,0.176,0.004,2.8574011925398e-92,"Apoa1",TRUE,"ENSMUSG00000032083","ENSG00000118137","APOA1","APOA1"
"69","5",0,-5.01132629766819,0.121,0.651,0,"Adgrl3",TRUE,"ENSMUSG00000037605","ENSG00000150471","ADGRL3","ADGRL3"
"70","5",0,-4.9967644374393,0.063,0.459,0,"Gpm6b",TRUE,"ENSMUSG00000031342","ENSG00000046653","GPM6B","GPM6B"
"71","5",0,-4.98234726504162,0.036,0.319,0,"Elavl4",TRUE,"ENSMUSG00000028546","ENSG00000162374","ELAVL4","ELAVL4"
"72","5",0,-4.97692254241922,0.084,0.43,0,"Lsamp",TRUE,"ENSMUSG00000061080","ENSG00000185565","LSAMP","LSAMP"
"73","5",0,-4.94374618632131,0.056,0.326,0,"Grik2",TRUE,"ENSMUSG00000056073","ENSG00000164418","GRIK2","GRIK2"
"74","5",9.76601432680298e-276,-4.91817546808473,0.022,0.285,3.15295772540834e-271,"Astn1",TRUE,"ENSMUSG00000026587","ENSG00000152092","ASTN1","ASTN1"
"75","5",1.87923250327192e-210,-4.91290287245596,0.021,0.19,6.06710213681338e-206,"Scn3a",TRUE,"ENSMUSG00000057182","ENSG00000153253","SCN3A","SCN3A"
"76","5",5.22895479491816e-228,4.85874075493418,0.21,0.007,1.68816805553933e-223,"Olr1",TRUE,"ENSMUSG00000030162","ENSG00000173391","OLR1","OLR1"
"77","5",0,4.79908568096453,0.192,0.01,0,"Slco2a1",TRUE,"ENSMUSG00000032548","ENSG00000174640","SLCO2A1","SLCO2A1"
"78","5",0,-4.74843138423044,0.045,0.352,0,"Sema5b",TRUE,"ENSMUSG00000052133","ENSG00000082684","SEMA5B","SEMA5B"
"79","5",5.85714819436209e-177,-4.74610423564094,0.041,0.202,1.8909802945498e-172,"Nell2",TRUE,"ENSMUSG00000022454","ENSG00000184613","NELL2","NELL2"
"80","5",0,-4.68785208697812,0.054,0.418,0,"Nova1",TRUE,"ENSMUSG00000021047","ENSG00000139910","NOVA1","NOVA1"
"81","5",0,4.67737344901411,0.338,0.009,0,"Rbp4",TRUE,"ENSMUSG00000024990","ENSG00000138207","RBP4","RBP4"
"82","5",0,4.66725617166591,0.304,0.016,0,"Cpm",TRUE,"ENSMUSG00000020183","ENSG00000135678","CPM","CPM"
"83","5",0,-4.64002357897181,0.03,0.155,0,"Grm8",TRUE,"ENSMUSG00000024211","ENSG00000179603","GRM8","GRM8"
"84","5",0,-4.63052271592167,0.034,0.283,0,"Ndnf",TRUE,"ENSMUSG00000049001","ENSG00000173376","NDNF","NDNF"
"85","5",0,-4.58680416834111,0.081,0.191,0,"Cntnap2",TRUE,"ENSMUSG00000039419","ENSG00000174469","CNTNAP2","CNTNAP2"
"86","5",5.76810956825912e-211,-4.55815985112181,0.023,0.106,1.86223417411246e-206,"Sgcz",TRUE,"ENSMUSG00000039539","ENSG00000185053","SGCZ","SGCZ"
"87","5",1.28540007767695e-284,-4.54534512200023,0.034,0.194,4.14991415078003e-280,"Dach2",TRUE,"ENSMUSG00000025592","ENSG00000126733","DACH2","DACH2"
"88","5",6.03611456747492e-65,-4.53794663626013,0.026,0.15,1.94875958810928e-60,"Srrm3",TRUE,"ENSMUSG00000039860","ENSG00000177679","SRRM3","SRRM3"
"89","5",1.2406345615323e-217,-4.52375748310877,0.028,0.181,4.00538868190705e-213,"Cacnb4",TRUE,"ENSMUSG00000017412","ENSG00000283228","",""
"90","5",0,-4.51573381109468,0.063,0.224,0,"Ebf2",TRUE,"ENSMUSG00000022053","ENSG00000221818","EBF2","EBF2"
"91","5",1.56558924284082e-249,4.51284315236285,0.216,0.012,5.05450487051158e-245,"Gpr39",TRUE,"ENSMUSG00000026343","ENSG00000183840","GPR39","GPR39"
"92","5",0,4.50090979651462,0.427,0.041,0,"Tbx20",TRUE,"ENSMUSG00000031965","ENSG00000164532","TBX20","TBX20"
"93","5",4.78939874726323e-126,-4.47926810258431,0.031,0.151,1.54625738555393e-121,"Nol4",TRUE,"ENSMUSG00000041923","ENSG00000101746","NOL4","NOL4"
"94","5",0,-4.45886719228289,0.135,0.491,0,"Grid2",TRUE,"ENSMUSG00000071424","ENSG00000152208","GRID2","GRID2"
"95","5",6.68158902226391e-69,-4.44500382405529,0.015,0.128,2.1571510158379e-64,"Slc44a5",TRUE,"ENSMUSG00000028360","ENSG00000137968","SLC44A5","SLC44A5"
"96","5",0,4.43522130526508,0.561,0.062,0,"Piezo2",TRUE,"ENSMUSG00000041482","ENSG00000154864","PIEZO2","PIEZO2"
"97","5",0,4.4191630244483,0.445,0.025,0,"Crlf1",TRUE,"ENSMUSG00000007888","ENSG00000006016","CRLF1","CRLF1"
"98","5",2.4466959242371e-239,-4.40081519338319,0.05,0.22,7.89915779139947e-235,"Dner",TRUE,"ENSMUSG00000036766","ENSG00000187957","DNER","DNER"
"99","5",4.82886024355771e-301,4.3976378150683,0.313,0.016,1.55899752963261e-296,"Pdgfrb",TRUE,"ENSMUSG00000024620","ENSG00000113721","PDGFRB","PDGFRB"
"100","5",2.86261893170232e-72,-4.37619451554211,0.023,0.108,9.24196522100095e-68,"Kcnip1",TRUE,"ENSMUSG00000053519","ENSG00000182132","KCNIP1","KCNIP1"
"101","5",0,4.37608837700721,0.396,0.033,0,"Prkg2",TRUE,"ENSMUSG00000029334","ENSG00000138669","PRKG2","PRKG2"
"102","5",6.38499725010146e-111,-4.34267736256287,0.031,0.188,2.06139636219526e-106,"Unc79",TRUE,"ENSMUSG00000021198","ENSG00000133958","UNC79","UNC79"
"103","5",5.4695891736587e-93,-4.33944880275702,0.033,0.164,1.76585686471571e-88,"Slit1",TRUE,"ENSMUSG00000025020","ENSG00000187122","SLIT1","SLIT1"
"104","5",5.58735557713407e-125,-4.28295515688508,0.03,0.174,1.80387774807774e-120,"Hecw1",TRUE,"ENSMUSG00000021301","ENSG00000002746","HECW1","HECW1"
"105","5",0,4.26216013521394,0.26,0.019,0,"Dkk2",TRUE,"ENSMUSG00000028031","ENSG00000155011","DKK2","DKK2"
"106","5",1.30941526150855e-16,4.25417065507323,0.112,0.004,4.22744717178034e-12,"Apom",TRUE,"ENSMUSG00000024391","ENSG00000204444","APOM","APOM"
"107","5",4.36036869989162e-113,-4.25415268488382,0.028,0.158,1.40774503476001e-108,"Vcam1",TRUE,"ENSMUSG00000027962","ENSG00000162692","VCAM1","VCAM1"
"108","5",8.08618603660311e-176,4.22484163818958,0.182,0.01,2.61062516191731e-171,"Ptgs1",TRUE,"ENSMUSG00000047250","ENSG00000095303","PTGS1","PTGS1"
"109","5",4.21808779041687e-87,4.19713891951916,0.21,0.01,1.36180964313609e-82,"Capn6",TRUE,"ENSMUSG00000067276","ENSG00000077274","CAPN6","CAPN6"
"110","5",6.29888142244427e-207,4.18946265347319,0.228,0.017,2.03359386723613e-202,"Svep1",TRUE,"ENSMUSG00000028369","ENSG00000165124","SVEP1","SVEP1"
"111","5",4.59465065517671e-159,4.17973521390046,0.155,0.012,1.4833829640238e-154,"Lgr6",TRUE,"ENSMUSG00000042793","ENSG00000133067","LGR6","LGR6"
"112","5",3.10738971478484e-104,-4.15029235308917,0.022,0.126,1.00322076941829e-99,"Plppr1",TRUE,"ENSMUSG00000063446","ENSG00000148123","PLPPR1","PLPPR1"
"113","5",1.02793162453882e-64,4.12674082041078,0.189,0.012,3.31867724982358e-60,"Cspg4",TRUE,"ENSMUSG00000032911","ENSG00000173546","CSPG4","CSPG4"
"114","5",6.66186443313312e-156,-4.1026577363151,0.044,0.189,2.15078293223703e-151,"Slc1a2",TRUE,"ENSMUSG00000005089","ENSG00000110436","SLC1A2","SLC1A2"
"115","5",0,4.09786424171503,0.654,0.059,0,"Aebp1",TRUE,"ENSMUSG00000020473","ENSG00000106624","AEBP1","AEBP1"
"116","5",0,-4.07790866735975,0.083,0.491,0,"Zfp536",TRUE,"ENSMUSG00000043456","ENSG00000198597","ZNF536","ZNF536"
"117","5",0,-4.01761666685145,0.182,0.554,0,"Pax3",TRUE,"ENSMUSG00000004872","ENSG00000135903","PAX3","PAX3"
"118","5",0,4.00337348155522,0.996,0.213,0,"S100a6",TRUE,"ENSMUSG00000001025","ENSG00000197956","S100A6","S100A6"
"119","5",4.19109406107377e-101,-4.0031345771937,0.037,0.14,1.35309471761767e-96,"Tmem163",TRUE,"ENSMUSG00000026347","ENSG00000152128","TMEM163","TMEM163"
"120","5",3.86877108940546e-243,-3.99707928179657,0.053,0.212,1.24903274621455e-238,"Syt1",TRUE,"ENSMUSG00000035864","ENSG00000067715","SYT1","SYT1"
"121","5",0,3.96686343195535,0.725,0.063,0,"Igfbp7",TRUE,"ENSMUSG00000036256","ENSG00000163453","IGFBP7","IGFBP7"
