	entrez	symbol	PCA.PC1	PCA.PC2	PCA.PC3	PCA.PC4	PCA.PC5	PCA.PC6	PCA.PC7	PCA.PC8	PCA.PC9	PCA.PC10	PCA.PC11	PCA.PC12	PCA.PC13	PCA.PC14	PCA.PC15	PCA.PC16	PCA.PC17	PCA.PC18	CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_BMP4_2_weeks_untreated_1	CTRL2_BMP4_2_weeks_untreated_2	CTRL2_BMP4_2_weeks_untreated_3	CTRL2_BMP4_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_2	CTRL2_BMP4_3_weeks_untreated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_BMP4_2_weeks_untreated_1	CTRL3_BMP4_2_weeks_untreated_2	CTRL3_BMP4_2_weeks_untreated_3	CTRL3_BMP4_3_weeks_untreated_1	CTRL3_BMP4_3_weeks_untreated_2	CTRL3_BMP4_3_weeks_untreated_3
ENSG00000144647	84892	POMGNT2	0.00117823660686723	-0.01335783254616	-4.42157419512939e-05	-0.00362713645349277	-0.00705035527529849	0.0011021154163797	-8.48446404957437e-05	-0.00305456014763565	-0.00438239076494569	-0.00838256838910219	0.000113725665478124	0.000612167917131354	0.0038667571906653	0.00503557253699894	-0.00884399637236316	-0.00651894949042203	0.000220523964246464	0.00102961534241739	9.55903951178083	8.78686575662327	9.86527277949273	10.7223391660919	9.93023573280275	10.9711243922459	10.8691174450415	10.5527778789886	10.674398682371	9.66804874604708	9.44522093991086	9.36567260233826	10.9384177909816	10.5144626004013	10.6526444663649	11.2150768744962	10.8517782906769	10.6391283303125
ENSG00000144648	1238	ACKR2	-0.00137748171353634	-0.00427334646996411	-0.0017966429508506	-0.00422268763070042	-0.00178745513095669	0.00428278664945123	0.00699124068363246	-0.00620283241604456	0.00668590907124543	0.00151606698547116	-0.000639097856392644	4.25833582849995e-05	0.0149802483548539	-0.00254954724174706	0.00709508652633214	0.00240250411981096	0.0274431960213163	-0.00190437065499849	4.85327663180814	4.7099923139605	4.77999277894051	4.85120002224371	5.06399254972948	5.09740395035067	5.29740209495357	5.33774944409437	5.80739770070195	5.33454178228033	4.2449355345037	4.5032960877673	4.81092763107915	5.04411014095048	5.59638985250113	5.22778684699682	5.18585585086768	4.86972086706037
ENSG00000144655	64651	CSRNP1	0.00275621272401374	-0.0122635012488295	-0.0061042873012347	-0.00844036429154356	-0.00702414933552709	0.00610909072659575	0.00838664419885299	-0.00731596464931328	0.004297008492383	-0.00438296729749944	-0.0120381816520033	-0.0106840727299453	-0.000279197772345729	0.00418698288126775	0.00449580988432445	-0.00428371392834933	0.0016085391704439	-0.00215480236426423	8.07013254498688	7.78080998900393	8.22147236857202	8.84847045803267	9.04889867713862	9.53916655907122	9.20266657452322	9.43074104178819	9.56700157315307	9.24926152503229	7.80430510792144	8.10048860026594	10.0032779921924	9.56814374224034	9.3878784600678	9.76243676907948	10.0857462544991	9.51663597629867
ENSG00000144659	54977	SLC25A38	-0.000855109909655661	-0.00145792329174389	-0.000938834569894969	0.00360325842099477	-0.000935672506336681	0.00367883202182699	0.00177202079896671	9.92140473841267e-05	0.000628691769154032	0.00567297875037492	0.00244669050883587	-0.00182345507158211	0.00272921496809867	-0.0032768482825187	0.00120189447226429	0.00139391261272634	-0.00134781181142199	0.00165611979164834	10.0245209180619	10.0630640912371	9.99178868703597	9.90151454784324	10.0277932719359	9.98140140338852	9.87030941021769	9.84873004391362	10.0803129544244	9.65084244294055	9.50472116237306	9.68220385568337	10.0132322911608	9.73812155887393	9.97958616451557	9.99733745479552	9.81317991800258	10.0758442147211
ENSG00000144668	3680	ITGA9	0.000138187239441534	-0.0134521064060997	-0.0036550683391238	0.0115123041118881	-0.00480989327901762	0.00762720204241795	0.00894025135405564	-0.00482609330745265	-0.00264717046920028	0.0108011877761012	-0.0014757441226094	0.0164909404206454	-0.0104561369454559	-0.00741365382604576	-0.00854275666611345	0.00368102081189278	0.0025454126879557	-0.00224930538554265	10.3069569420753	9.6742094477553	9.96257929430921	10.6409215008433	10.5746992170591	10.5306480523258	10.3409178208807	9.94072142261818	10.5810979618125	8.91586220756062	8.88588361866698	8.38384419824878	11.3017909610511	10.5717557991882	10.8505336318168	11.1317092613019	10.273951616212	10.7300492270465
ENSG00000144674	2803	GOLGA4	-0.000492935097565489	0.00181907696438532	-0.00138036573326953	-0.00116497252214481	0.00112940747753378	0.00243373034903942	-0.000153049368976887	-0.000525290845566279	-0.000850332719306009	0.000132245674637228	-0.00028827329767123	0.00421168929849144	0.00246357057503314	-2.77920655477806e-05	0.00106937721656734	0.00149997885370454	0.00721606336693872	0.00687488343784171	11.4332243481944	11.6344469885833	11.5994502948101	11.2741938813092	11.6513881813661	11.4056592472146	11.3125810508417	11.6021681746011	11.5469312617559	11.6320902731723	11.5909671824561	11.5245364419336	11.2665933617004	11.508642450222	11.5818510616888	11.4060123042734	11.3501903287935	11.3280197212867
ENSG00000144677	10217	CTDSPL	-0.00419628993696108	0.00430856461108821	-0.00601961671273957	0.00350335859645421	-0.00780850849943923	0.00132894773160163	-0.00397809649628092	-0.0053967200996276	-0.00689244209891742	-0.00457785300718096	0.00549334772254592	0.00148724381498859	-0.00284983638993272	-0.00938023982074711	0.00178161215217578	0.000498209955457616	-0.00143234498878275	0.00216149511736212	8.86355715135272	9.01591083174396	9.18503862245963	8.22136013383263	9.27486084331583	8.48742169830713	8.37875701905853	9.44396233448335	8.6759484275609	8.59919255432924	8.60764736083313	8.42165189591844	8.74298022157626	7.88533650724212	7.92549799455176	8.59007323746684	7.95164757323045	8.03345027916399
ENSG00000144681	6769	STAC	-0.0125126472565522	-0.00817855792996201	-0.00353518653638094	-0.0117140419224422	0.00179999592908068	0.01510365521612	-0.00751441032400606	0.0167673471735085	-0.00645532814898591	-0.000894679571754447	-0.0065281944898033	-0.00704956061711668	-0.00379605531689552	-0.0142615695571522	0.00181149838039879	0.00781623390778751	0.00692007411788457	-0.0124855074069245	8.07986716966852	9.59924881171326	10.1474320066808	10.0195352109383	10.7944512753153	11.3038114409508	10.5460094936218	10.7227167882541	11.8578462271216	8.71964960500435	9.0163873579274	8.86657294925373	9.09225532382453	9.2512520725947	9.48414581938585	8.50670784983165	9.44768848399834	9.48282947933887
ENSG00000144711	9922	IQSEC1	0.00164972083679904	-0.00364346670991431	0.00475542208466791	0.00176602951365034	-0.00190293262398137	0.0014802016152674	-0.0101101261168438	-0.00090223776702279	0.00109132027378899	0.00338155823486294	-0.00174729157939738	0.00176324005116274	0.0023468339938714	0.00328973040850863	-0.00528709318063819	-0.00189908131011737	-0.00193842727538867	-0.000158749967032158	11.334829473076	10.4545169864582	11.1035293473069	11.2432884708222	10.6966149075654	11.4491954194585	11.1459896928166	10.6323548956663	11.2780338599038	10.5231254564599	11.1518450258222	11.2109956605891	11.223309548556	11.1822355759613	11.1978528991246	11.5171328044004	11.4000772697262	11.2027266481614
ENSG00000144712	23066	CAND2	0.000787335668369691	0.00642647987584853	0.00335607100371419	0.00628571128088272	-0.000326352755379139	-0.00167019641541469	-0.00566654772327654	-0.00292419567861547	-0.00229743507644044	0.00393586437819645	0.00429379864156896	0.00575641987027097	0.00291633655721686	0.002451447621441	-0.00248477376523725	-0.00464543718166514	0.00439478619130775	0.00534040016974629	9.62462991798124	9.15679927611571	9.27173237461373	8.62608026635014	8.67047945235872	8.49583604328029	8.49621073474688	8.4211491634559	8.28360016527686	8.83189587495558	9.33453035256855	9.33711322781742	8.53639378229816	8.5296795983093	8.72710782594245	8.86511010010701	8.42315957908004	8.42632211101186
